Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.53282E-8,0.000006533,0.000097492,1,0,0
8.98268E-8,0.000015515,0.00013405,0.999702292,0,0
1.05992E-7,0.000026115,0.000158171,0.999404585,0,0
1.99974E-7,0.000058102,0.000298398,0.998809169,0,0
2.1275E-7,0.000120721,0.000317461,0.997916046,0,0
2.75374E-7,0.000265009,0.000410887,0.996129801,0,0
3.48158E-7,0.000520265,0.000519461,0.993748139,0,0
4.62343E-7,0.001020212,0.000689768,0.990175648,0,0
6.69226E-7,0.002544559,0.000998262,0.982435249,0,0
8.10605E-7,0.005061119,0.001209024,0.972610896,0,0
1.17213E-6,0.010077357,0.001747766,0.957427806,0,0
1.97483E-6,0.025089606,0.002942918,0.928550164,0,0
3.13603E-6,0.050004374,0.00466931,0.899374814,0,0
4.87072E-6,0.100398126,0.007242765,0.861268235,0,0
7.24506E-6,0.20037049,0.010754367,0.811848765,0,0
9.10787E-6,0.300810906,0.013500737,0.775230723,0,0
1.16302E-5,0.401056493,0.017207235,0.746353081,0,0
1.35949E-5,0.500255787,0.020084782,0.723131884,0,0
1.52313E-5,0.601356671,0.022474982,0.702292349,0,0
1.68478E-5,0.700839694,0.024830317,0.683834475,0,0
1.75749E-5,0.750882534,0.025887934,0.675200953,0,0
1.82849E-5,0.801193676,0.026919638,0.666865138,0,0
1.99121E-5,0.901272667,0.029279898,0.651384341,0,0
2.20275E-5,1.001352933,0.032339695,0.637094373,0,0
2.44725E-5,1.101643838,0.03586406,0.624292944,0,0
2.6221E-5,1.200607618,0.038376694,0.612682346,0,0
2.88117E-5,1.301826739,0.042087648,0.601667163,0,0
3.09845E-5,1.400518263,0.045188716,0.59184281,0,0
3.31937E-5,1.500364491,0.04833161,0.582613873,0,0
4.43346E-5,1.750899037,0.064024068,0.562965168,0,0
5.26256E-5,2.004204555,0.075534107,0.54748437,0,0
5.91395E-5,2.253285396,0.084477673,0.534087526,0,0
