Predictor variable,Categorical,Sample average
bio10_28,false,29.13478290170863
bio11_28,false,20.61594213955644
bio14_28,false,0.7898550724637681
bio15_28,false,9.471014451289523
bio1_28,false,26.0884061343428
bio3_28,false,4.092753534731657
bio8_28,false,28.5
cy_freq,true,1.0
elvation,false,9.789855072463768
salinity,false,5.872336657150932
swind,false,2.906280199686686
