lon,lat
89.66613889,22.36822222
89.66888889,22.38583333
89.67344444,22.35869444
89.67908333,22.34152778
89.70666667,22.31147222
89.71691667,22.31698889
89.70725,22.31925
89.68838889,22.37380556
89.71447222,22.38377778
89.65361111,22.34444444
89.64480556,22.33318056
89.6245,22.29052778
89.62291667,22.27713889
89.61911111,22.20611111
89.63302778,22.20002778
89.61097222,22.17869444
89.6885,22.18808333
89.67466667,22.17944444
89.68708333,22.21480556
89.69930556,22.22858333
89.69963889,22.24755556
89.60561111,22.11419444
89.62166667,22.02063889
89.65213889,22.09013889
89.64355556,22.07297222
89.64847222,21.96202778
89.58577778,21.95527778
89.70111111,22.0895
89.69183333,22.10525
89.71736111,22.11075
89.70158333,22.21011111
89.71694444,22.21536111
89.84455556,22.17797222
89.84616667,22.10188889
89.80011111,22.04313889
89.78422222,22.10261111
89.79191667,22.24922222
89.74661111,22.02325
89.72577778,21.98913889
89.73719444,22.00252778
89.57297222,21.7715
89.67527778,21.88825
89.59086111,22.37702778
89.52236111,22.20094444
89.53238889,22.21569444
89.53319444,22.2315
89.59908333,22.30375
89.59055556,22.30530556
89.61316667,22.32747222
89.60072222,22.20861111
89.61922222,22.35580556
89.49319444,22.27883333
89.49044444,22.2965
89.45777778,22.19158333
89.44436111,22.1975
89.43938889,22.09152778
89.41088889,22.03641667
89.40791667,22.02402778
89.42691667,21.94786111
89.47613889,22.05527778
89.49247222,22.05477778
89.54469444,22.11261111
89.53916667,22.13005556
89.46844444,22.40922222
89.48152778,22.42466667
89.44702778,22.37061111
89.45011111,22.36291667
89.46858333,22.28263889
89.39894444,22.22797222
89.39894444,22.22797222
89.37436111,22.31341667
89.36344444,22.32513889
89.38519444,22.43902778
89.37675,22.43447222
89.32205556,22.05694444
89.88469444,21.90588889
89.79377778,21.85552778
89.8121,22.00301
89.78297,21.8556
89.76866,21.85993
89.27019,21.79466
89.14801,21.86407
89.42808333,21.79622222
89.42197222,21.79805556
89.43330556,21.81397222
89.41719444,21.79005556
89.41944444,21.789
89.42108333,21.77747222
89.38427778,21.88330556
89.41161,21.86838
89.39655,21.87301
